"inflammatory_bowel_disease"	"multiple_sclerosis"	"telomere_length"	"platelet_counts"	"metabolite_levels"	"hdl_cholesterol"	"c.reactive_protein"	"ldl_cholesterol"	"cholesterol__total"	"ulcerative_colitis"	"breast_cancer"	"crohns_disease"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"
"H3K4me3_Adipose_Nuclei"	7.4659314486766	3.93464274563647	2.67793852366595	5.31575768671874	0.0717676992545946	0.483044011577102	0.00691717782632631	0.0424584734722914	0	0.802817828127788	1.89877496911101	0.902477577103034	0.0109997000404799	0.0783946529495255	0.837225142970294	1.60263012056106
"H3K4me3_Rectal_Smooth_Muscle"	6.71179637227167	1.70462167112627	2.80764423340044	3.30366273837137	0.300424492080565	0	0	0.753948015895503	0.705520767043295	0.802817828127788	1.70326247800564	1.57363281332246	0	0.0268456544473848	1.07394668497998	2.21683300842946
"H3K4me3_Colonic_Mucosa"	5.23238676666209	1.49331497631553	2.34107414917794	2.2805546262248	0.193134809055218	0.10486357189835	0.00691717782632631	1.09226254870326	0.705520767043295	1.09156619573024	0.667162092034377	1.26767079012829	-0.0114463292055951	0.0756912332052766	0.999412127866902	0.917087648606179
"H3K4me3_Duodenum_Smooth_Muscle"	5.35474391089834	0.919131785328879	2.80764423340044	2.48101802958462	0.300424492080565	0.144667170503742	0	0.444303918189474	0.723295140031925	0.749214976046132	0.568009070664847	1.26767079012829	0	0.100998519906655	1.08952645904875	1.68994810296077
"H3K4me3_CD3_Primary_Cells"	3.72930175572895	5.39089156092998	2.51960638680388	1.72721796980371	0.178316636474978	0.144803306756172	0	0.253744719040888	0.705520767043295	0.109448011951065	1.03363378718372	0.228847688396427	0.0917261127795961	3.4950142345453	0.575872957143497	1.60263012056106
"H3K4me3_CD34_Cultured_Cells"	2.62155553388716	0.847355589140542	3.14084180503551	1.47891998115896	0.306654155671831	0.306770106490473	0.00691717782632631	0.313910928699987	0.683184643220099	0.299857676234267	0	1.8708243733851	0.0114463292055951	1.36834914330254	0.307923649964863	1.01795300614264
"H3K4me3_Pancreatic_Islets"	0.9780840046428	0.423079210627209	2.90503123362471	1.42350455534582	0.428778053685951	0.483044011577102	0.00691717782632631	1.09226254870326	0.81778397291449	-0.0591086753972499	0.662279076078537	0.415805924819005	0.0114463292055951	0.0268456544473848	0.963380551366802	0.997441848473066
"H3K4me3_Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.981236103247959	0.919131785328879	2.8471765526264	1.52627254885713	0.300424492080565	0.306770106490473	0	2.57454557924566	0.705520767043295	0.109448011951065	0.956824142803389	0.228847688396427	-0.0917261127795961	0.0231720605625325	0.194874252802209	0.99447192335531
"H3K4me3_Brain_Substantia_Nigra"	1.32354567300272	0.58305111704188	3.14084180503551	3.30366273837137	0.300424492080565	0.10486357189835	0.00691717782632631	1.41651740413072	0.705520767043295	0.0538273248894003	0.420506386031451	-0.0231577790242086	-0.0114463292055951	0.0268456544473848	0.771446235389335	0.842563886305806
"H3K4me3_Brain_Anterior_Caudate"	1.62960522972823	1.49331497631553	2.8471765526264	2.97419687160592	0.428778053685951	0.128529110789637	0	1.92911982191571	0.705520767043295	-0.0468973427589246	0.70711193345493	0	0.0114463292055951	0	0.633763960752025	0.893612541709628
