"telomere_length"	"ldl_cholesterol"	"crohns_disease"	"hdl_cholesterol"	"inflammatory_bowel_disease"	"platelet_counts"	"multiple_sclerosis"	"ulcerative_colitis"	"breast_cancer"	"metabolite_levels"	"c.reactive_protein"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"cholesterol__total"	"systemic_lupus_erythematosus"
"H3K4me3_Mobilized_CD34_Primary_Cells"	0.001699702656804	0.90686267316325	0.000117123977305733	0.3288183066083	1.4962473504131e-16	8.366002456554e-16	2.752059834778e-05	0.014156333872062	0.02926346255408	0.64101057004425	-1	0.30007087006785	0.597077972634182	0.06161782518485	0.723437224916437	0.0197271952617543
"H3K4me3_CD34_Cultured_Cells"	0.0007230331257834	0.485388040249143	0.0134640472362	0.493434934304875	0.00239025627014571	0.03319556148036	0.142116469755917	0.501351505904923	-1	0.49356669242144	0.9841987795945	0.973988144876571	0.0428204134908	0.492126045042733	0.207403154151913	0.0959504451338
"H3K4me3_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells"	0.0036933950119312	0.272846194351667	0.0539883320171	0.3288183066083	0.00238132102495	0.000496978111714286	0.226882647608462	0.778240925392857	0.231611648275083	0.663259323360276	-1	-0.5612209592748	0.792504031362	0.265538221933481	0.405812215229643	0.0864679070147444
"H3K4me3_CD4_Naive_Primary_Cells"	0.001557240774211	0.586647869051185	0.000117123977305733	0.482470496543143	4.95325508364333e-11	0.0102804970940762	4.45933852311267e-09	0.0809904485576	0.0947278055837333	0.64101057004425	-1	0.000970994534993733	0.00544298655519467	0.02579109687163	0.1970059000911	0.0244900476538956
"H3K4me3_CD8_Memory_Primary_Cells"	0.001557240774211	0.90686267316325	0.00077340205927105	0.71669245013184	1.711788302877e-12	0.0230778567743407	2.7297059851595e-08	0.0809904485576	0.171591724015012	0.697595483263636	-1	0.000970994534993733	0.0016654802200615	0.0002784667779289	0.1970059000911	0.0058233808157436
"H3K4me3_Brain_Cingulate_Gyrus"	0.0227212169708788	0.246015268414667	-1	0.613136256654526	0.04554541101446	0.00375137839174267	0.130054971555983	-0.913203553774375	0.24103113280728	0.5006975979532	0.9841987795945	0.973988144876571	-1	0.267328580133214	0.207403154151913	0.148172153593455
"H3K4me3_Brain_Substantia_Nigra"	0.0007230331257834	0.038325038152796	-0.948073965806615	0.785482345170965	0.0474738361993419	0.000496978111714286	0.261185391760429	0.88343108203376	0.379746354995259	0.5006975979532	0.9841987795945	-0.973988144876571	0.940057341726222	0.169259777099337	0.1970059000911	0.143693165990867
"H3K4me3_Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells"	0.00209923701901895	0.246015268414667	1	0.002919344631379	0.00160430222586544	0.018740536956487	0.16245121053224	0.913203553774375	0.01262481523442	0.50997307297325	1	-0.144062110153629	-1	0.265538221933481	0.1521304069764	0.0249672022558446
"H3K4me3_CD4_Memory_Primary_Cells"	0.001557240774211	-1	0.000117123977305733	0.932928253332452	1.17724221198267e-14	0.0196288810996385	9.635292471326e-12	0.7772343535452	0.01262481523442	0.624480369524	0.9841987795945	0.010100652541144	0.0047348069033664	0.049093377955088	0.4819934798086	0.005191735457018
"H3K4me3_Rectal_Smooth_Muscle"	0.001557240774211	0.17621869637334	0.02669114389821	-1	1.94179611446236e-07	0.000496978111714286	0.0197414173008945	0.1574643235628	0.0198032979640314	0.5006975979532	-1	-1	0.940057341726222	0.0843438293893167	0.1970059000911	0.00606969672029333
"H3K4me3_Rectal_Mucosa"	0.0007230331257834	0.246015268414667	0.01208947469935	0.716467827121636	4.95325508364333e-11	0.00106121438520618	0.0031846629641766	0.014090307056724	0.13152811973592	0.697595483263636	1	0.144062110153629	0.0158792016417943	0.06161782518485	0.205656605030952	0.002375089873459
"H3K4me3_Brain_Hippocampus_Middle"	0.001557240774211	0.17621869637334	1	0.6726325676556	0.008020422884956	0.00446410932180875	0.367986961926	0.88343108203376	0.1915627064612	0.5006975979532	0.9841987795945	0.973988144876571	0.940057341726222	0.0843438293893167	0.1970059000911	0.143693165990867
"H3K4me3_Treg_Primary_Cells"	0.00406548662602692	0.90686267316325	0.001200261799182	-1	3.580635784902e-17	4.83328398427933e-06	4.354139006334e-09	0.01486873975238	0.0796784205727556	0.697595483263636	-1	1.1847877470552e-06	0.0003198790263618	2.1317250749106e-08	0.1970059000911	6.961368192642e-05
"H3K4me3_CD19_Primary_Cells"	0.0121972976861733	-1	0.05399197448164	-0.744512491652518	1.23240088753257e-09	0.008560454362949	0.00278792876595022	0.870166184698364	0.849474113173812	0.64101057004425	0.9841987795945	0.5612209592748	0.0830376343431333	0.02020777663406	-1	0.0058233808157436
